item_id,full_name,stratum,stars,language,n_rulefiles
R000,GrantBirki/git-diff-action,G1,19,JavaScript,1
R001,OpenHFT/JLBH,G1,79,Java,1
R002,Protelis/Protelis,G1,16,Java,2
R003,R44VC0RP/inbound,G1,43,TypeScript,19
R004,ably/ably-chat-js,G1,19,TypeScript,1
R005,arch10/Calculator-Plus,G1,39,Kotlin,1
R006,blues/note-c,G1,11,C++,5
R007,databendlabs/databend-docs,G1,15,TypeScript,1
R008,deufrai/als,G1,72,Python,1
R009,dotnet/source-build-reference-packages,G1,47,C#,1
R010,espin086/GPT-Jobhunter,G1,82,Python,1
R011,gfhdhytghd/OQQWall,G1,27,Shell,1
R012,go-go-golems/go-go-mcp,G1,15,Go,1
R013,gofiber/utils,G1,52,Go,1
R014,hicommonwealth/commonwealth,G1,80,TypeScript,6
R015,init4tech/signet-sdk,G1,19,Rust,1
R016,invokable/google-sheets-project,G1,59,Blade,1
R017,lfnovo/esperanto,G1,16,Python,1
R018,metacraft-labs/codetracer-python-recorder,G1,15,Python,1
R019,nekobato/Polidium,G1,19,TypeScript,1
R020,nirum/jetplot,G1,19,Python,1
R021,ptarmiganlabs/butler,G1,58,JavaScript,3
R022,reown-com/reown-dotnet,G1,24,C#,1
R023,schemalabz/opencouncil,G1,15,TypeScript,2
R024,tecnomanu/agent-rules-kit,G1,16,JavaScript,12
R025,theweebcoders/CommercialBreaker,G1,40,Python,1
R026,tsutaj/statements-manager,G1,20,Python,1
R027,v0l/route96,G1,11,Rust,1
R028,windsorcli/cli,G1,11,Go,1
R029,yuneco/canvas-draw-styled-text,G1,36,TypeScript,1
R030,GetResQ/rrq,G2,1,Python,1
R031,Grien25/SDWiiDecomp,G2,1,Assembly,1
R032,KTC-Security-Circle/Kage,G2,1,Python,2
R033,Nuke1999/Authenticator-Pro,G2,1,JavaScript,1
R034,RB-FIDES/swirl_courses,G2,1,R,1
R035,StirlingMarketingGroup/cool-mysql,G2,3,Go,1
R036,VertyyBird/qbox,G2,1,Python,1
R037,asiifdev/business-leads-ai-automation,G2,4,JavaScript,1
R038,bacnet-js/client,G2,8,TypeScript,2
R039,basilinjoe/basilinjoe.github.io,G2,3,TypeScript,1
R040,danieleschmidt/causal-eval-bench,G2,1,Python,1
R041,giantswarm/handbook,G2,2,Python,1
R042,hugomd/five_hundred,G2,1,Elixir,1
R043,idob1212/Gibushun,G2,1,HTML,1
R044,jaoafa/jaotan.ts,G2,1,TypeScript,1
R045,jim60105/image-dataset-prep-tools,G2,3,Shell,1
R046,luabase/definite_sdk,G2,1,Python,1
R047,martin-macak/plldb,G2,3,Python,1
R048,nicholasgriffintn/ai-platform,G2,5,TypeScript,1
R049,norseto/k8s-watchdogs,G2,1,Go,2
R050,nuloinc/descuentito,G2,2,TypeScript,2
R051,oriolrius/n8n-nodes-notion-upload-media,G2,1,TypeScript,1
R052,ottuco/keycloak-auth-utils,G2,4,Python,1
R053,phisoart/CellSorter,G2,1,Python,5
R054,pyth-network/documentation,G2,9,MDX,1
R055,qhbzssbx/VCGameFramework,G2,1,C#,1
R056,sog4be/sakurs,G2,1,Rust,2
R057,stampchain-io/BTCStampsExplorer,G2,9,TypeScript,26
R058,thosoo/adxl345usb,G2,2,Python,1
R059,tkubica12/gh-copilot-demo,G2,4,HCL,1
R060,508284405/smartcs-web,G3,0,,6
R061,AsaTyr2018/AsgardBackup,G3,0,Python,1
R062,Aurelien-Dev/MudRecettesFamille,G3,0,C#,1
R063,Caide21/The-Mirror,G3,0,JavaScript,1
R064,Longyearniue/mascodex-2940045,G3,0,HTML,1
R065,MolasoftLLC/mola-ai-flutter-templete,G3,0,Dart,2
R066,Narion2025/AIR-PI_OSAL,G3,0,TypeScript,1
R067,Peskobar/FTAi,G3,0,CSS,1
R068,SaMirzaei/game-hub,G3,0,TypeScript,1
R069,SpineEventEngine/core-jvm-compiler,G3,0,Kotlin,3
R070,Winterlee1973/LadybugRealEstate,G3,0,TypeScript,2
R071,assislucian/medcheck-app,G3,0,TypeScript,1
R072,bolinfest/codex,G3,0,Rust,1
R073,brettdup/TrainState,G3,0,Swift,1
R074,coolrboolr/poke-agent,G3,0,Python,1
R075,daktu32/careerfm,G3,0,TypeScript,2
R076,danteachqe/Playwright,G3,0,HTML,1
R077,ebarronh/edge-fleet,G3,0,TypeScript,1
R078,gotlostinparadise/excalidraw,G3,0,TypeScript,2
R079,harperreed/big-rs,G3,0,Rust,1
R080,mpf-kfk-tahmid-hossain/ERPSoftwareFinal,G3,0,Python,1
R081,naoto-ysd/ice-breakun,G3,0,Vue,3
R082,pbeaucage/AFL-automation,G3,0,Python,1
R083,retroam/inspect_evals,G3,0,Python,2
R084,seconds-0/yelm,G3,0,TypeScript,1
R085,siddharth654321/minicon-,G3,0,TypeScript,1
R086,sounny/fej,G3,0,JavaScript,1
R087,stateset/stateset-python,G3,0,Python,1
R088,toshi-yaminabe/ObsidianLikeNotion,G3,0,JavaScript,1
R089,voicebootix/AutoGuru-Universal,G3,0,Python,1
R090,514-labs/moose,P,275,Rust,2
R091,Apollon77/ioBroker.alexa2,P,172,JavaScript,1
R092,Azure/azure-rest-api-specs,P,2898,TypeSpec,1
R093,DestinyItemManager/DIM,P,2099,TypeScript,1
R094,FinAegis/core-banking-prototype-laravel,P,116,PHP,2
R095,JetBrains/psiviewer,P,199,Java,1
R096,Kanaries/pygwalker,P,15060,Python,2
R097,Kashif-E/CameraK,P,361,Kotlin,1
R098,Netflix/metaflow,P,9330,Python,1
R099,NuGet/NuGetGallery,P,1593,C#,1
R100,OEvortex/Webscout,P,268,Python,1
R101,OpenDroneMap/WebODM,P,3287,JavaScript,1
R102,PyLabRobot/pylabrobot,P,270,Python,1
R103,RevenueCat/purchases-ios,P,2728,Swift,1
R104,SlimPlanet/SlimFaas,P,350,C#,1
R105,ag2ai/ag2,P,3135,Python,1
R106,baynezy/Html2Markdown,P,298,C#,1
R107,beyond-all-reason/Beyond-All-Reason,P,2303,Lua,1
R108,bluerobotics/BlueOS,P,293,Vue,1
R109,callstack/react-native-testing-library,P,3239,TypeScript,1
R110,coturn/coturn,P,12724,C,1
R111,danielroe/roe.dev,P,265,TypeScript,1
R112,different-ai/note-companion,P,696,TypeScript,2
R113,dotCMS/core,P,912,Java,9
R114,dotnet/arcade,P,690,C#,1
R115,dotnet/extensions,P,2992,C#,1
R116,dotnet/macios,P,2716,C#,1
R117,dotnet/msbuild,P,5418,C#,1
R118,dreadl0ck/netcap,P,1759,Go,1
R119,get-convex/convex-helpers,P,242,TypeScript,2
R120,getAlby/lightning-browser-extension,P,554,TypeScript,1
R121,gptme/gptme,P,3941,Python,1
R122,graphql-python/graphql-server,P,131,Python,1
R123,hahwul/dalfox,P,4430,Go,1
R124,jenkinsci/jira-plugin,P,171,Java,1
R125,kingstinct/react-native-healthkit,P,460,TypeScript,1
R126,lacymorrow/crossover,P,1053,JavaScript,8
R127,liuliu/ccv,P,7158,C,1
R128,ltwlf/json-diff-ts,P,145,TypeScript,1
R129,lumen-notes/lumen,P,525,TypeScript,1
R130,microsoft/vscode,P,175171,TypeScript,2
R131,microsoft/vscode-mssql,P,1718,TypeScript,1
R132,mistralai/mistral-common,P,771,Python,1
R133,mizchi/similarity,P,576,Rust,1
R134,mlflow/mlflow,P,21402,Python,1
R135,mrwadams/stride-gpt,P,794,Python,1
R136,nodetool-ai/nodetool,P,126,TypeScript,2
R137,pavelzbornik/whisperX-FastAPI,P,120,Python,2
R138,pulumi/examples,P,2502,TypeScript,1
R139,pyvista/pyvista,P,3211,Python,3
R140,selfxyz/self,P,691,Circom,5
R141,shesha-io/shesha-framework,P,451,TypeScript,1
R142,sst/opencode,P,15712,Go,1
R143,stanford-crfm/haliax,P,196,Python,1
R144,stingle/stingle-photos-android,P,328,Java,1
R145,streamich/memfs,P,1919,TypeScript,1
R146,supermemoryai/llm-bridge,P,241,TypeScript,1
R147,twentyhq/twenty,P,34726,TypeScript,17
R148,vercel/vercel,P,13899,TypeScript,1
R149,wwood/singlem,P,156,Python,1
