item_id,coder,order_index,in_overlap,M1,M2,M3,M5,M6,M7,M8,addressed_to,orientation,proc_substantial
R000,coder1,0,0,1,0,0,1,0,1,0,specific-tool,NORM,0
R001,coder1,1,0,1,1,0,1,0,1,0,generic,NORM,0
R002,coder1,2,0,1,0,0,1,0,1,0,both,NORM,0
R003,coder1,3,0,1,1,1,1,1,1,1,specific-tool,PROC,1
R004,coder1,4,0,1,0,1,1,0,1,0,specific-tool,NORM,0
R005,coder1,5,0,1,0,1,1,0,1,0,generic,NORM,0
R006,coder1,6,0,1,1,0,1,0,1,0,both,NORM,0
R007,coder1,7,0,1,0,0,1,0,1,0,generic,MIXED,1
R008,coder1,8,0,1,0,0,1,0,1,1,generic,NORM,0
R009,coder1,9,0,1,0,0,1,0,1,0,specific-tool,MIXED,1
R010,coder1,10,0,1,1,0,1,0,1,0,specific-tool,MIXED,1
R011,coder1,11,0,1,0,0,1,0,1,0,generic,NORM,0
R012,coder1,12,0,1,0,0,1,0,1,0,generic,MIXED,1
R013,coder1,13,0,1,1,0,1,0,1,0,generic,NORM,0
R014,coder1,14,0,1,0,0,1,0,1,0,specific-tool,MIXED,1
R015,coder1,15,0,1,0,0,1,0,1,0,specific-tool,NORM,0
R016,coder1,16,0,1,1,0,0,0,0,0,specific-tool,NORM,0
R017,coder1,17,0,1,0,1,1,0,1,1,specific-tool,PROC,1
R018,coder1,18,0,1,1,0,1,0,1,0,specific-tool,MIXED,1
R019,coder1,19,0,1,0,0,1,0,0,0,generic,NORM,0
R020,coder1,20,0,1,0,0,1,0,1,0,generic,NORM,0
R021,coder1,21,0,1,0,1,1,0,1,0,both,PROC,1
R022,coder1,22,0,1,0,0,1,0,1,0,generic,NORM,0
R023,coder1,23,0,1,1,0,1,1,1,1,both,MIXED,1
R024,coder1,24,0,1,0,0,1,0,1,0,both,MIXED,1
R025,coder1,25,0,1,0,0,1,0,1,0,specific-tool,NORM,0
R026,coder1,26,0,1,0,0,1,0,1,0,specific-tool,PROC,1
R027,coder1,27,0,1,0,0,1,0,1,0,generic,MIXED,1
R028,coder1,28,0,1,0,0,1,0,1,0,specific-tool,NORM,0
R029,coder1,29,0,1,0,0,0,0,0,0,specific-tool,NORM,0
R030,coder1,30,1,1,0,0,1,1,1,1,generic,MIXED,1
R031,coder1,31,1,1,0,1,1,1,1,0,generic,PROC,1
R032,coder1,32,1,1,0,0,1,0,1,0,both,NORM,0
R033,coder1,33,1,1,0,0,0,0,0,0,generic,PROC,1
R034,coder1,34,1,1,0,0,1,1,0,0,specific-tool,MIXED,1
R035,coder1,35,1,1,1,1,1,0,0,0,specific-tool,NORM,0
R036,coder1,36,1,1,0,0,1,0,1,0,generic,NORM,0
R037,coder1,37,1,1,1,0,1,0,1,0,specific-tool,MIXED,1
R038,coder1,38,1,1,0,0,1,0,1,0,specific-tool,NORM,0
R039,coder1,39,1,0,0,0,1,0,0,0,specific-tool,NORM,0
R040,coder1,40,1,1,0,0,1,0,1,0,specific-tool,MIXED,1
R041,coder1,41,1,1,0,0,1,0,0,1,specific-tool,NORM,0
R042,coder1,42,1,1,0,1,1,0,0,0,generic,NORM,0
R043,coder1,43,1,1,0,0,1,0,0,0,specific-tool,MIXED,1
R044,coder1,44,1,1,0,0,1,0,0,0,specific-tool,NORM,0
R045,coder1,45,1,1,0,0,1,0,0,0,specific-tool,NORM,0
R046,coder1,46,1,1,0,0,1,0,0,0,specific-tool,MIXED,1
R047,coder1,47,1,1,0,0,1,0,1,0,specific-tool,PROC,1
R048,coder1,48,1,1,1,0,1,0,1,1,generic,NORM,0
R049,coder1,49,1,1,0,0,1,1,1,0,both,MIXED,1
R050,coder1,50,1,1,0,0,1,0,0,0,both,MIXED,1
R051,coder1,51,1,1,1,0,1,0,0,0,generic,PROC,1
R052,coder1,52,1,1,0,0,0,0,0,0,specific-tool,MIXED,1
R053,coder1,53,1,1,0,0,1,0,1,0,specific-tool,PROC,1
R054,coder1,54,1,1,0,0,1,0,0,1,generic,MIXED,1
R055,coder1,55,1,1,0,0,1,1,1,1,specific-tool,PROC,1
R056,coder1,56,1,1,0,0,1,0,1,0,both,MIXED,1
R057,coder1,57,1,1,1,1,1,0,1,1,both,MIXED,1
R058,coder1,58,1,1,0,0,1,0,1,0,generic,NORM,0
R059,coder1,59,1,1,1,0,1,0,1,1,generic,NORM,0
R060,coder1,60,0,1,0,1,1,0,1,0,both,NORM,0
R061,coder1,61,0,1,0,1,0,0,0,0,specific-tool,NORM,0
R062,coder1,62,0,1,0,0,1,0,0,0,specific-tool,NORM,0
R063,coder1,63,0,1,0,0,1,0,0,0,specific-tool,NORM,0
R064,coder1,64,0,1,0,0,1,0,1,0,generic,PROC,1
R065,coder1,65,0,1,0,0,1,0,1,0,both,NORM,0
R066,coder1,66,0,1,0,0,1,0,1,0,generic,NORM,0
R067,coder1,67,0,1,0,0,1,0,1,0,specific-tool,PROC,1
R068,coder1,68,0,1,1,0,1,0,0,1,specific-tool,NORM,0
R069,coder1,69,0,1,1,0,1,1,0,1,both,NORM,0
R070,coder1,70,0,1,0,0,1,0,0,0,both,NORM,0
R071,coder1,71,0,1,0,0,1,0,0,0,specific-tool,NORM,0
R072,coder1,72,0,1,1,0,1,1,1,1,specific-tool,NORM,0
R073,coder1,73,0,1,0,0,1,0,0,0,specific-tool,NORM,0
R074,coder1,74,0,1,0,1,1,0,0,0,specific-tool,NORM,0
R075,coder1,75,0,1,0,0,1,0,1,0,specific-tool,PROC,1
R076,coder1,76,0,1,0,0,1,0,1,1,generic,NORM,0
R077,coder1,77,0,1,0,0,1,0,1,0,specific-tool,NORM,0
R078,coder1,78,0,1,0,0,1,0,1,0,specific-tool,NORM,0
R079,coder1,79,0,1,0,0,1,0,0,0,specific-tool,NORM,0
R080,coder1,80,0,1,0,0,1,0,1,0,generic,NORM,0
R081,coder1,81,0,1,0,1,1,0,1,0,specific-tool,NORM,0
R082,coder1,82,0,1,0,0,0,0,0,0,specific-tool,NORM,0
R083,coder1,83,0,1,0,0,1,1,1,1,both,MIXED,1
R084,coder1,84,0,1,0,0,1,1,1,1,specific-tool,MIXED,1
R085,coder1,85,0,1,0,0,0,0,0,0,specific-tool,NORM,0
R086,coder1,86,0,1,0,0,1,0,0,0,generic,NORM,0
R087,coder1,87,0,1,0,0,1,0,1,0,generic,NORM,0
R088,coder1,88,0,0,0,0,0,0,0,0,specific-tool,NORM,0
R089,coder1,89,0,1,0,0,1,0,1,0,specific-tool,NORM,0
R090,coder1,90,0,1,0,0,1,0,1,0,both,NORM,0
R091,coder1,91,0,1,0,0,1,0,1,0,specific-tool,MIXED,1
R092,coder1,92,0,1,0,0,1,1,0,0,specific-tool,PROC,1
R093,coder1,93,0,1,0,0,1,0,1,0,specific-tool,NORM,0
R094,coder1,94,0,1,1,0,1,0,1,0,both,MIXED,1
R095,coder1,95,0,1,0,0,1,0,0,0,specific-tool,NORM,0
R096,coder1,96,0,1,0,0,1,0,1,0,both,MIXED,1
R097,coder1,97,0,1,0,0,1,0,0,0,specific-tool,NORM,0
R098,coder1,98,0,1,0,0,1,0,1,0,specific-tool,NORM,0
R099,coder1,99,0,1,0,0,1,0,1,0,specific-tool,NORM,0
R100,coder1,100,0,1,0,0,1,0,1,0,generic,NORM,0
R101,coder1,101,0,0,0,0,1,0,0,1,generic,NORM,0
R102,coder1,102,0,1,0,0,1,0,0,1,generic,NORM,0
R103,coder1,103,0,1,1,0,1,0,1,1,generic,NORM,0
R104,coder1,104,0,1,0,0,1,0,1,0,generic,MIXED,1
R105,coder1,105,0,1,1,0,1,0,1,1,generic,NORM,0
