item_id,adjudicator,M1,M2,M3,M5,M6,M7,M8,proc_substantial
R030,PI,1,0,0,1,1,1,1,1
R031,PI,1,0,1,1,1,1,1,1
R032,PI,1,0,0,1,0,1,0,0
R033,PI,1,0,0,1,0,0,0,1
R037,PI,1,1,0,1,0,1,0,1
R038,PI,1,0,1,1,0,1,0,0
R040,PI,1,0,0,1,0,1,0,1
R041,PI,1,0,0,1,0,0,1,0
R043,PI,1,0,0,1,0,0,0,1
R045,PI,1,0,0,1,0,0,0,0
R046,PI,1,1,0,1,0,0,0,1
R047,PI,1,0,0,1,0,1,0,1
R049,PI,1,0,0,1,1,1,0,1
R050,PI,1,0,1,1,0,0,0,1
R054,PI,1,0,0,1,0,1,1,0
R055,PI,0,0,0,1,1,1,1,1
R056,PI,1,1,0,1,0,1,0,1
R057,PI,1,1,1,1,0,1,1,1
R059,PI,1,1,0,1,1,1,1,0
